city,term,url
St. Paul,oral surgery,"https://www.google.com/maps/search/st.+paul+minnesota+oral+surgery/@44.9478,-93.1039,12z/"
Trenton,oral surgery,"https://www.google.com/maps/search/trenton+new+jersey+oral+surgery/@40.2237,-74.7641,12z/"
Round Lake Beach,oral surgery,"https://www.google.com/maps/search/round+lake+beach+illinois+oral+surgery/@42.3791,-88.0811,12z/"
Newark,oral surgery,"https://www.google.com/maps/search/newark+new+jersey+oral+surgery/@40.7245,-74.1725,12z/"
Reading,oral surgery,"https://www.google.com/maps/search/reading+pennsylvania+oral+surgery/@40.34,-75.9267,12z/"
Irvine,oral surgery,"https://www.google.com/maps/search/irvine+california+oral+surgery/@33.6772,-117.7738,12z/"
Chula Vista,oral surgery,"https://www.google.com/maps/search/chula+vista+california+oral+surgery/@32.6281,-117.0144,12z/"
St. Petersburg,oral surgery,"https://www.google.com/maps/search/st.+petersburg+florida+oral+surgery/@27.7931,-82.6652,12z/"
Jersey City,oral surgery,"https://www.google.com/maps/search/jersey+city+new+jersey+oral+surgery/@40.7184,-74.0686,12z/"
Aguadilla,oral surgery,"https://www.google.com/maps/search/aguadilla+puerto+rico+oral+surgery/@18.4382,-67.1537,12z/"
Norfolk,oral surgery,"https://www.google.com/maps/search/norfolk+virginia+oral+surgery/@36.8945,-76.259,12z/"
Garland,oral surgery,"https://www.google.com/maps/search/garland+texas+oral+surgery/@32.91,-96.6304,12z/"
York,oral surgery,"https://www.google.com/maps/search/york+pennsylvania+oral+surgery/@39.9651,-76.7315,12z/"
Arlington,oral surgery,"https://www.google.com/maps/search/arlington+virginia+oral+surgery/@38.8786,-77.1011,12z/"
Hialeah,oral surgery,"https://www.google.com/maps/search/hialeah+florida+oral+surgery/@25.8696,-80.3045,12z/"
Spring Valley,oral surgery,"https://www.google.com/maps/search/spring+valley+nevada+oral+surgery/@36.0952,-115.2636,12z/"
